4gtv,#genre#
164 人間衛視,https://www.4gtv.tv/channel/4gtv-live008?set=1&ch=210
168 NHK WORLD-JAPAN,https://www.4gtv.tv/channel/4gtv-live168?set=1&ch=461
169 FRANCE24 英文台,https://www.4gtv.tv/channel/4gtv-live146?set=1&ch=316
170 半島國際新聞台,https://www.4gtv.tv/channel/4gtv-live157?set=1&ch=462
172 CNBC Asia 財經台,https://www.4gtv.tv/channel/4gtv-live130?set=1&ch=235
173 DW德國之聲,https://www.4gtv.tv/channel/4gtv-live071?set=1&ch=226
185 國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
186 國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
201 經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
202 經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
204 精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
