綜合,#genre#
TVBS台劇台,https://pixman.mytvsuper.com.mp/histar?id=tvbs-taiju
八大戲劇,https://pixman.mytvsuper.com.mp/histar?id=gtv-41
采昌影劇台,https://pixman.mytvsuper.com.mp/histar?id=caichang
民視影劇,https://pixman.mytvsuper.com.mp/histar?id=ftv-drama
三立戲劇台,https://pixman.mytvsuper.com.mp/histar?id=settv-drama
靖洋戲劇台,https://pixman.mytvsuper.com.mp/histar?id=jyxj
靖天映畫,https://pixman.mytvsuper.com.mp/histar?id=jtyh
靖天戲劇台,https://pixman.mytvsuper.com.mp/histar?id=jtxjt
公視戲劇,https://pixman.mytvsuper.com.mp/histar?id=gsxj
tvN,https://pixman.mytvsuper.com.mp/histar?id=tvn
紀實,#genre#
History 頻道,https://pixman.mytvsuper.com.mp/histar?id=history
History-2 頻道,https://pixman.mytvsuper.com.mp/histar?id=history-2
BBCEarth,https://pixman.mytvsuper.com.mp/histar?id=bbcearth
Lifetime 娛樂頻道,https://pixman.mytvsuper.com.mp/histar?id=lifetime
探索頻道,https://pixman.mytvsuper.com.mp/histar?id=discovery
探索科學頻道,https://pixman.mytvsuper.com.mp/histar?id=discovery-sci
探索亞洲頻道,https://pixman.mytvsuper.com.mp/histar?id=discovery-asia
DMAX,https://pixman.mytvsuper.com.mp/histar?id=dmax
野生頻道,https://pixman.mytvsuper.com.mp/histar?id=natgeo-wild
fun 探索娛樂台,https://pixman.mytvsuper.com.mp/histar?id=festival4k
達文西頻道,https://pixman.mytvsuper.com.mp/histar?id=da-vinci
Love Nature,https://pixman.mytvsuper.com.mp/histar?id=love-nature
民視旅遊,https://pixman.mytvsuper.com.mp/histar?id=ftv-travel
美食星球頻道,https://pixman.mytvsuper.com.mp/histar?id=food-planet
EYE 旅遊台,https://pixman.mytvsuper.com.mp/histar?id=eye-travel
ELTA 生活旅遊台,https://pixman.mytvsuper.com.mp/histar?id=elta-lifetravel
車迷TV,https://pixman.mytvsuper.com.mp/histar?id=motorvision
動物星球頻道,https://pixman.mytvsuper.com.mp/histar?id=animal-planet
TLC 旅遊生活頻道,https://pixman.mytvsuper.com.mp/histar?id=tlc
亞洲旅遊台,https://pixman.mytvsuper.com.mp/histar?id=asia-travel
Asian Food Network,https://pixman.mytvsuper.com.mp/histar?id=asian-food-network
CI 罪案偵查頻道,https://pixman.mytvsuper.com.mp/histar?id=ci
滾動力 rollor,https://pixman.mytvsuper.com.mp/histar?id=rollor
LUXE TV Channel,https://pixman.mytvsuper.com.mp/histar?id=luxe-tv
ELTV生活英語台,https://pixman.mytvsuper.com.mp/histar?id=eltv
LiveABC 互動英語頻道,https://pixman.mytvsuper.com.mp/histar?id=liveabc
兒少,#genre#
迪士尼頻道,https://pixman.mytvsuper.com.mp/histar?id=disney
Animax 卡通,https://pixman.mytvsuper.com.mp/histar?id=animax-cartoon
DreamWorks 夢工廠動畫,https://pixman.mytvsuper.com.mp/histar?id=dreamworks
小尼克頻道,https://pixman.mytvsuper.com.mp/histar?id=nick-jr
尼克兒童頻道,https://pixman.mytvsuper.com.mp/histar?id=nickelodeon
MOMO 親子台,https://pixman.mytvsuper.com.mp/histar?id=momo-kids
東森幼幼台,https://pixman.mytvsuper.com.mp/histar?id=ebc-yoyo
CN卡通,https://pixman.mytvsuper.com.mp/histar?id=cn-cartoon
靖天卡通台,https://pixman.mytvsuper.com.mp/histar?id=jtkt
靖天育樂台,https://pixman.mytvsuper.com.mp/histar?id=jtyl
i-Fun 動漫台,https://pixman.mytvsuper.com.mp/histar?id=i-fun
Bloomberg,https://pixman.mytvsuper.com.mp/histar?id=bloomberg
Boomerang HD,https://pixman.mytvsuper.com.mp/histar?id=boomerang-hd
靖洋卡通 NiceBingo,https://pixman.mytvsuper.com.mp/histar?id=nice-bingo
